LOC.,TAG,OPERATOR COMPLAIN,PROBLEM,ACTION TAKEN,DATE
,12-PV-035B,,PMR,PMR was carried out ,16/01/2017
,12-PV-061A,,PMR,PMR was carried out ,16/01/2017
,07-VSH-003B,,PMR,PMR was carried out ,16/01/2017
,07-FT-030,,PMR,PMR was carried out ,16/01/2017
,05-VSH-171B,,PMR,PMR was carried out ,16/01/2017
,04-PT-019,,PMR,PMR was carried out ,16/01/2017
A2A,02-VSH-002A,,PMR,PMR was carried out ,16/01/2017
A2A,02-VSH-002B,,PMR,PMR was carried out ,16/01/2017
A2A,02-VSH-002C,,PMR,PMR was carried out ,16/01/2017
A2A,02-VSH-002D,,PMR,PMR was carried out ,16/01/2017
,05-LT-014,,Wrong reading ,"Refill wet leg, zero/ span calibration were done. Check reading found it ok ",16/01/2017
,53-LSH-004,,Reinstall,Reinstall after clearing blockage from taps ,16/01/2017
,51-LT-073,,PMR,PMR was carried out ,16/01/2017
,53-LT-003,,Wrong reading ,"Refill glycerin, zero/span calibration were done then  check reading found ok and matched with LG ",16/01/2017
A2A,03-TT-004,,PMR,PMR was carried out ,17/01/2017
,13-TE-076,,Install TC,Install the TC instead of the pyrometer then check reading found ok.,17/01/2017
,"
56-LIT-001",,Install new Tx,###############################################################################################################################################################################################################################################################,17/01/2017
,56-TE-001,,Install new Tx,###############################################################################################################################################################################################################################################################,17/01/2017
,"
56-LIT-002",,Install new Tx,"Install a new Tx & commissioning was done, check level on Tx and on the DCS panel found ok.
Install the TE and check reading on the Tx found ok ( 141 C° ) but no reading transmitted to DCS, waiting to be configured.",17/01/2017
,56-TE-002,,Install new Tx,"Install a new Tx & commissioning was done, check level on Tx and on the DCS panel found ok.
Install the TE and check reading on the Tx found ok ( 141 C° ) but no reading transmitted to DCS, waiting to be configured.",17/01/2017
,45LSLL-011,,Install new float,"Install a new float, put the switch in service found a pin hole in the chamber, waiting for spare.",18/01/2017
,14-LT-022,,Wrong reading,"Check found the Tx reading matched with the LG, refill seal pot with rich amine, Reset, Zero & span calibration were done.",18/01/2017
,06-PDT-001,,Wrong reading,"Zero/Span check found ok, flushing was done by operation staff found no blockage.",18/01/2017
,13-HV-017,,Force close,"Force the valve to close as operation request.
",18/01/2017
,13-HV-018,,Force close,"Force the valve to close as operation request.
",18/01/2017
,13-FV-074,,Dismantle,"Dismantle the valve body and transfer it to EMC w/s, passing test was done found passing, to be continued next day shift.",18/01/2017
,"13-FV-024
",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,"
13-XV-006",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,"
12-HV-001",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,"
05-XV-019",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,"
05-XV-082",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,"
14-XV-027",,Visual inspection,Put a brake fluid on flanges studs.,18/01/2017
,13-HV-002,,Dismantle,###############################################################################################################################################################################################################################################################,18/01/2017
,"09-PT-059A
",,Lay cable,Lay Inst. Cable between 09-PT-059A and 09-JEBI-03,18/01/2017
,UNIT 55,,PMR,Visual inspection for instruments was done.,18/01/2017
,53-PK-01A,,Check Ignition Panel ,The ignition system was checked with operation and found working normally.,18/01/2017
,53-PK-01B,,Check Ignition Panel ,The ignition system was checked with operation and found working normally.,18/01/2017
,56-XV-501A,,Check,Stopped by operation.,18/01/2017
,"
51-LT-074",,Check config.,Check configuration found ok.,18/01/2017
,56-TE-001,,Check config.,"Adjust Temperature address at DCS Then check level reading found ok, waiting for welding the crack to install the new vito temp. element.",18/01/2017
,56-TE-002,,Check config.,"Adjust Temperature address at DCS Then check reading found ok (Level & Temp.), Now reading is ok at DCS and field.",18/01/2017
,12-PV-010,,PMR,Check found max openning 50%. Adjust actuator stem length and cam lop position. Then check srtoke found Max. opening is 90%,19/01/2017
,12-PV-025,,PMR,PMR was carried,19/01/2017
,13-FV-074,,Passing,###############################################################################################################################################################################################################################################################,19/01/2017
A2A,02-TXE-041D,,Wrong reading,"Check found that there is a short circuit between the positive element wire and element body.
Waiting for spare.",19/01/2017
,12-HV-001,,Check stroke,"Check valve stroke found max. valve opening was 85%.
Force the valve several times then check stroke found max opening 95% & adjust the open proximity switch. Its stem is in good condition.
Install new cover for the positioner.
",19/01/2017
,05-FT-052,,Disconnect impulse tubes ,Disconnect the impulse tubes from tap points and its fitting.,19/01/2017
,13-HZ-51,,Dismantle the ignitor,Dismantle the ignitor then transfer it to EMC W/S. Function check was done found ok.,19/01/2017
,09-PT-059A,,Arrange cable,Arrange cable on cable tray.,19/01/2017
A2A,03-H-01,,Check pilots,"Clean nozzles and adjust air/fuel ratio.
Recomm: Replace scanner card for BSL001F by new one",19/01/2017
A2A,02-FV-005,,Check position switch,Adjust space between feedback plat and proximity switch then function check found ok.,19/01/2017
A2A,02-FV-002,,Check position switch,Clean and adjust space between feedback plat and proximity switch then function check found ok.,19/01/2017
A2A,02-XV-010,,Install new air regulator & F.B. Box,"Replace the old defected air regulator by new one.
Replace the old feedback switches, cable glands and shrouds by new ones 
Install new inst. Tag.
Check valve stroke found ok.
",19/01/2017
A2A,02-EBV-002,,Install new air regulator & F.B. Box,"Replace the old defected air regulator and air supply tube nut by new one.
Replace the old feedback switches, cable glands and shrouds by new ones 
Install new inst. Tag.
Check valve stroke found ok.
",19/01/2017
A2A,02-PSLL-066,,PMR,PMR was carried,19/01/2017
A2A,02-PDSH-074,,PMR,PMR was carried,19/01/2017
A2A,02-PDSH-075,,PMR,PMR was carried,19/01/2017
,14-FV-001,,Disconnect,"Disconnect the signal cable and air supply tube as requested
The valve was dismantled by static team and left in the field",19/01/2017
,14-FV-015,,Disconnect,"Disconnect the signal cable and air supply tube as requested
The valve was dismantled by static team and left in the field",19/01/2017
,51-LT-047,,PMR,PMR was carried out,19/01/2017
,51-LT-086,,PMR,PMR was carried out,19/01/2017
,51-LT-025,,PMR,PMR was carried out,19/01/2017
,51-LT-019,,PMR,PMR was carried out,19/01/2017
,53-LT-002,,Dismantle,Dismantle and transfer it to EMC w/s as requested,19/01/2017
,53-TI-201,,Dismantle,Dismantle and transfer it to EMC w/s as requested,19/01/2017
,05-XV-082,,Dismantle & clear valve stuck,###############################################################################################################################################################################################################################################################,20/01/2017
,05-XV-019,,Bad stroke,###############################################################################################################################################################################################################################################################,20/01/2017
,14-XV-027,,Dismantle & check,"Dismantle the valve and transfer it to EMC w/s.
Check valve stroke found ok. passing test was done found ok.
Reinstall the valve on line.",20/01/2017
,04-FT-522B,,Function check,"Complete calibration was done, Loop check was done.
Flushing was done and no blockage was found.
Install new Inst. Tag
Note: Fail safe is high.",20/01/2017
,04-XV-557,,Check stroke,"Check valve stroke found ok
( Opening: 4sec. & Closing 3.8 sec.)",20/01/2017
,04-XV-524,,Install new position monitor,"Install new proximity box with new cable glands and shrouds. Modify the feedback stem.
Check valve open/close position signal found ok.
Install new Inst. Tag and arrange cables on cable tray.",20/01/2017
,04-XV-525,,Install new position monitor,"Install new proximity box with new cable glands and shrouds. Modify the feedback stem
Check valve open/close position signal found ok.
Install new Inst. Tag and arrange cables on cable tray.",20/01/2017
,04-XV-531,,Install new position monitor,"Install new proximity box with new cable glands and shrouds. Modify the feedback stem
Check valve open/close position signal found ok.
Install new Inst. Tag and arrange cables on cable tray.",20/01/2017
,09-PT-059A,,Install new,"Install new TX , cable tray and support. Fabricate impulse tube. Connect TX wires.",20/01/2017
,05-FT-052,,Connect impulse tubes,"Reconnect the impulse tubes, refill the seal pot with water then zero check found ok.",20/01/2017
,13-XV-002,,Install new actuator ,"Dismantle the old actuator and reinstall the new actuator.
Fabricated a new bracket to install the position proximity box.
Function check found ok.
Waiting to replace the air supply tube.",20/01/2017
,05-XV-019,,Install F.B. Switches,"Dismantle the old switches box and install the new box found the feedback rod was not fabricated properly.
Reinstall the old switches box, waiting for compatible spare.",20/01/2017
,05-XV-059,,Dismantle ,"Dismantle the SOV's panel and the F.B. switches box.
Dismantle the upstream flange only, to be continued next shift.",20/01/2017
,14-PI-310,,Dismantle ,Dismantle the gauge and transfer it to EMC w/s as requested,20/01/2017
,14-TI-243,,Dismantle ,"Dismantle the gauge and transfer it to EMC w/s as requested
Note: The gauge was broken.",20/01/2017
,05-LG-220A,,Dismantle ,Dismantle the L.G as requested,20/01/2017
,05-LG-220C,,Dismantle ,Dismantle the L.G as requested,20/01/2017
,05-LG-220D,,Dismantle ,Dismantle the L.G as requested,20/01/2017
,05-LG-220E,,Dismantle ,Dismantle the L.G as requested,20/01/2017
,51-LT-020,,PMR,PMR was carried out,20/01/2017
,51-LT-065,,PMR,PMR was carried out,20/01/2017
,53-LSL-014,,Dismantle,PMR was carried out,20/01/2017
,53-LSL-009,,Dismantle,"Stopped as the drain line is blocked, waiting for scaffolding to check the switch.
Note:the cover of the switch can not be opened as it's blocked by the drain line of the upper switch.",20/01/2017
,13-HV-001,,Passing,###############################################################################################################################################################################################################################################################,21/01/2017
,13-TE-026,,install T/C,"Remove pyrometer and install T/C as operation request, check reading found ok,",21/01/2017
,13-PV-095A,,Valve didn’t close,"Force the valve to close position and check indication with DCS found ok
Mechanism movement is very bad, needs to be checked by mechanical department.",21/01/2017
A2A,02-FT-019,,Blockage,"Complete function check for the transmitter found ok.
Static department replaced one isolation valve of tap point, waiting for the other tap point valve to be replaced.
There is stem leakage from steam tracing beside tap point.",21/01/2017
,04-PT-605,,Connect to junction box,Connect it at 04-JEI-02 with new gland and shroud.,21/01/2017
,04-PT-606,,Connect to junction box,Connect it at 04-JEI-02 with new gland and shroud.,21/01/2017
,04-PT-607,,Connect to junction box,Connect it at 04-JEI-02 with new gland and shroud.,21/01/2017
,04-PT-608,,Connect to junction box,Connect it at 04-JEI-02 with new gland and shroud.,21/01/2017
,09-PT-059A,,Connect,"Connect it at 09-JEBI-03 with a new gland and shroud.
Paint the transmitter support.",21/01/2017
,34-LV-002,,Lay cable,"Lay new cable then connect it from both sides with new cable gland and shrouds.
Fabricate new instrument air tube and connect it.",21/01/2017
,13-TW-059,,Remove,Remove TW and leave it beside its location as operation request.,21/01/2017
,14-XV-027,,Check,Function check was done found ok.,21/01/2017
,14-E-52,,Dismantle instruments,"Dismantle the following instruments as operation request and transfer to EMC w/s.
14-TE-022
14-TW-022
14-TI-242
Disconnect the impulse line of 14-|PDT-057 and isolate it from manifold.",21/01/2017
,13-XV-002,,install tube,replace the old air tube by a new one.,21/01/2017
,13-HV-013,,Force close,Force the valve to close position.,21/01/2017
,13-HV-014,,Force close,Force the valve to close position.,21/01/2017
,04-XV-901,,Repair leakage,"Leakage test was done after rotating department had finished the leakage and found ok.
Rotating installed the vale again",21/01/2017
,13-XV-006,,Remove,"Remove all bolts except 4 bolts.
To be continued on next shift",21/01/2017
,13-FV-024,,Remove,"Remove all bolts except 4 bolts.
To be continued on next shift",21/01/2017
,04-PSL-901,,Check,"Dismantle the switch and transfer it to EMC w/s as the old sometimes stuck.
Waiting for spare",21/01/2017
,05-LG-220A,,Install,Waiting for welding department to modify the tap points of the header to match the new level glass.,21/01/2017
,05-LG-220B,,Install,Waiting for welding department to modify the tap points of the header to match the new level glass.,21/01/2017
,05-LG-220C,,Install,Waiting for welding department to modify the tap points of the header to match the new level glass.,21/01/2017
,05-LG-220D,,Install,Waiting for welding department to modify the tap points of the header to match the new level glass.,21/01/2017
,05-LG-220E,,Install,Waiting for welding department to modify the tap points of the header to match the new level glass.,21/01/2017
,04-K-01,,Check PCV,"Check found the pcv adjust was stuck, clear stuck
Function check was done found ok.
Install new pressure gauge instead of the old one.",21/01/2017
,04-XV-059,,Dismantle,"Dismantle the valve then passing test was done found passing, transfer valve to EPROM w/s, dismantle the plug and seat.
Dismantle broken studs in valve except one to be continued on next shift.",21/01/2017
,05-XV-019,,Dismantle proximity box,Dismantle the proximity box with its mounting plate to modify it. To be continued tomorrow,21/01/2017
,04-PSL-901,,install ,replace the old switch by old one . After calibrating it and checking it several times . Check found no alarms ,21/01/2017
,04-FV-014,,check stroke ,"check stroke found no response at 25 % and valve action is very slow  , waiting to dismantle the valve to check its internal parts 
its recommended to replace the feed back link and positioner ",21/01/2017
,13-XV-006,,replace seat ring,"Dismantle the valve , replace the  seat ring by new one , passing test was done found not passing to be installed next day shift ",21/01/2017
,13-FV-024,,check passing ,"Dismantle the valve , check the valve is not fully close , force the valve using the hand wheel to close position , passing test was done found passing , visually found defective seat ring , plug seems to be ok , to be continue ",21/01/2017
,04-FT-013,,Dismantle tubes ,Dismantle the impulse tubes as operation request ,21/01/2017
,04-FT-020,,Dismantle tubes ,Dismantle the impulse tubes as operation request ,21/01/2017
,51-LT-018,,PMR,PMR was carried out,21/01/2017
,51-LT-052,,PMR,Stopped,21/01/2017
,53-LSL-009,,PMR,PMR was carried out,21/01/2017
,53-PT-001,,Defective tube,"Check found pin hole in the impulse tube, install new union but we found another pin hole, waiting for tomorrow to install new tube.",21/01/2017
,53-PV-001,,Defective tube,Stopped by operation,21/01/2017
,53-FT-001,,Dismantle,Dismantle the impulse tubes and transfer to EMC W/S to be installed next day shift ,21/01/2017
,53-FT-002,,Dismantle,Dismantle the impulse tubes and transfer to EMC W/S to be installed next day shift ,21/01/2017
,05-XV-019,,Install new proximity box,"machining was done for new proximity box shaft and install on the valve, check wires found the polarity for XZSL-019 is reversed at CR07, fix it, waiting for system engineer to fix it CR07.
Note: install 2 new glands and shrouds and new wire terminals.",22/01/2017
,04-FV-014,,Check stroke ,"Check found max opening is 75% and no response at 25%, increase pressure for regulator to be 4 bar and full calibration was done for positioner then check stroke found it ok,
There is air leakage from actuator stem,",22/01/2017
,04-FT-013,,Connect impulse tubes,"Install impulse tubes and put transmitter in service then zero check was done after refilling seal pots with water.
install new impulse tube with 2 new nuts for high tap point.",22/01/2017
,04-FT-020,,Connect impulse tubes,"Install impulse tubes and put transmitter in service then zero check was done after refilling seal pots with water.
",22/01/2017
,05-TE-040,,Check,"Dismantle the element and transfer it to EMC w/s, check it found ok.
Loop check was done found ok.
Re-install and check reading found it ok.",22/01/2017
,04-PT-605,,Loop check,Loop check was done found ok. ,22/01/2017
,04-PT-606,,Loop check,Loop check was done found ok.,22/01/2017
,04-PT-607,,Loop check,"Loop check was done found ok. 
Rerange to be (0-6 bar) as data sheet.",22/01/2017
,04-PT-608,,Loop check,"Loop check was done found ok. 
Rerange to be (0-6 bar) as data sheet.",22/01/2017
,13-HZ-01,,Check,Dismantle the ignitor and transfer it to EMC W/S. maintenance was done for the ignitor. Waiting to be installed .,22/01/2017
,13-XV-006,,Install,Install valve accessories after static dept. install the valve on the line. we couldn't check valve stroke due to S/D.,22/01/2017
,05-XV-059,,Install,"Install new seat ,old bonnet gasket and old plug (as the new spare is not compatible with body). Passing test was done found passing at 7 Bar. Install the valve in-service then check stroke found ok.",22/01/2017
,13- TE-165,,Dismantle,Dismantle and transfer to EMC W/S then check found ok,22/01/2017
,13-TI-165 ,,Dismantle,"Dismantle, and transfer to EMC W/S . The gauge was defective and needs to be replaced.",22/01/2017
,04-XV-012,,Check leakage,"Check found air leakage from the vent screw, tighten it.",22/01/2017
A2A,02-H-01,,Replace support,"Weld new support from the defective two supports, to be continue.",22/01/2017
A2A,02-UV-006,,Force,force to open position as operation request then remove force.,22/01/2017
A2A,02-UV-014,,Force,force to close position as operation request then remove force.,22/01/2017
,13-XV-058,,Check action,Force the valve open/close found ok. Regulator gauge was defective.,22/01/2017
,13-XV-059,,Check action,Force the valve open/close found ok. Regulator gauge was defective.,22/01/2017
,13-XV-068,,Check action,Force the valve open/close found ok. Regulator gauge was defective.,22/01/2017
,13-XV-014,,Check action,Force the valve open/close found ok. There is air leakage from regulator.,22/01/2017
,13-IN-01,,Check ignition,Dismantle the ignitor then transfer to EMC W/S. Function check was done found ok. Then re install it again.,22/01/2017
,13-FV-024,,Passing,install new defective seat by anew one. Passing test was done found ok.,22/01/2017
,13-FV-024,,Install valve,"Transfer the valve from EPROM w/s to site, re-install it with 2 new line gaskets.
Check stroke found ok.",22/01/2017
,51-LT-052,,PMR,"PMR was carried out.
Note: we could not take hand dip as the tank was empty.",22/01/2017
,53-FT-001,,Install,"Install the impulse tubes again after static department finished their work.
Note:  transmitter is isolated from manifolds as the steam line is isolated.",22/01/2017
,53-FT-002,,Install,"Install the impulse tubes again after static department finished their work.
Note:  transmitter is isolated from manifolds as the steam line is isolated.",22/01/2017
,53-PT-001,,Defective tube,Replace the defective tube by a new one after removing the steam tracing then check reading found it ok.,22/01/2017
,51-LT-066,,PMR,PMR was carried out.,22/01/2017
,51-LT-002,,PMR,PMR was carried out.,22/01/2017
,54-LSHH-022,,Check,Function check was one found it ok.,22/01/2017
,53-FT-002,,leakage,"Check found defective ferrule and back ferrule, dismantle the tube and transfer it to EMC w/s, waiting for spare.",22/01/2017
,53-FT-002,,leakage,"Check found defective ferrule and back ferrule, dismantle the tube and transfer it to EMC w/s, waiting for spare.",22/01/2017
,14-FT-034,,Wrong reading,"Drain, Zero calibration was done then check reading found ok.",23/01/2017
,14-FT-035,,Wrong reading,Drain then check reading found ok.,23/01/2017
,14-FT-027,,Wrong reading,"Reset, Zero check found ok then check reading found ok.",23/01/2017
,14-FT-028,,Wrong reading,"Reset, Zero check found ok then check reading found ok.",23/01/2017
,04-H-01,,Check pilots,"Dismantle the following pilots & complete maintenance were carried out them then check spark found ok:
04-BSL-001B,E,G,J,H,I 
04-BSL-002G,J,E,H
04-BSL-003B,D,E,F 
04-BSL-004A,D,E,F

For 04-BSL-003D ,replace it by new one. 
",23/01/2017
,04-H-02,,Check pilots,"Dismantle the following pilots & complete maintenance were carried out them then check spark found ok:
04-BSL-001B,E,G,J,H,I 
04-BSL-002G,J,E,H
04-BSL-003B,D,E,F 
04-BSL-004A,D,E,F

For 04-BSL-003D ,replace it by new one. 
",23/01/2017
,04-H-03,,Check pilots,"Dismantle the following pilots & complete maintenance were carried out them then check spark found ok:
04-BSL-001B,E,G,J,H,I 
04-BSL-002G,J,E,H
04-BSL-003B,D,E,F 
04-BSL-004A,D,E,F

For 04-BSL-003D ,replace it by new one. 
",23/01/2017
,04-H-04,,Check pilots,"Dismantle the following pilots & complete maintenance were carried out them then check spark found ok:
04-BSL-001B,E,G,J,H,I 
04-BSL-002G,J,E,H
04-BSL-003B,D,E,F 
04-BSL-004A,D,E,F

For 04-BSL-003D ,replace it by new one. 
",23/01/2017
,14-PSL-032A,,False Alarm,"Function check for PSL-032A found ok, put the switch in service and check found no alarm.",23/01/2017
,14-PSL-032B,,False Alarm," Adjust the setpoint of PSL-032B, put the switch in service and check found no alarm.",23/01/2017
,14-PSL-032C,,False Alarm,Check PSL-032C found no alarm.put the switch in service and check found no alarm.,23/01/2017
A2A,02-H-01,,Check pilots,Check spark for all pilots found ok.,23/01/2017
A2A,03-H-01,,Check pilots,Check spark for all pilots found ok.,23/01/2017
,05-XV-019,,Check,Function check was done found ok but still there is a problem in indication waiting to reverese polarity at C.R 7.,23/01/2017
,05-XV-082,,Check,Function check was done found ok.,23/01/2017
,05-XV-059,,Check,Function check was done found ok.,23/01/2017
,05-LG-220A,,Install,Install new level glasses after modification was done for all lines.,23/01/2017
,05-LG-220B,,Install,Install new level glasses after modification was done for all lines.,23/01/2017
,05-LG-220C,,Install,Install new level glasses after modification was done for all lines.,23/01/2017
,05-LG-220D,,Install,Install new level glasses after modification was done for all lines.,23/01/2017
,05-LG-220E,,Install,Install new level glasses after modification was done for all lines.,23/01/2017
A2A,02-H-01,,Install,Install the second support of 02-LCP-01,23/01/2017
,14-FV-001,,Check,Install acessories then function check was done found ok.,23/01/2017
,13-FV-024,,Check,Tighten on all nuts then function check was done found ok.,23/01/2017
,13-xv-006,,Check,Function check was done found ok.,23/01/2017
,13-FV-074,,Check,Function check was done found ok.,23/01/2017
,13-HV-001,,Check,Function check was done found ok.,23/01/2017
,13-HV-002,,Check,Function check was done found ok.,23/01/2017
,13-TT-075,,Instll,Install new pyrometer with new cable glands and shrouds. Waiting to adjust the alignment,23/01/2017
,13-TT-077,,Instll,Install new pyrometer with new cable glands and shrouds. Waiting to adjust the alignment,23/01/2017
,04-H-01,,Start up,Assist operation to start up the heater,23/01/2017
,04-H-02,,Start up,Assist operation to start up the heater,23/01/2017
,04-H-03,,Start up,Assist operation to start up the heater,23/01/2017
,04-H-04,,Start up,Assist operation to start up the heater,23/01/2017
A2A,03-H-01,,Start up,Assist operation to start up the heater,23/01/2017
,04-FV-014,,Passing,"Increase stem length to stop valve passing but usless,waiting spare.",23/01/2017
,04-PT-047A,,Check,Zero check was done found ok.,23/01/2017
,04-PT-047B,,Check,Zero check was done found ok.,23/01/2017
,04-PT-047C,,Check,Zero check was done found ok.,23/01/2017
,04-UV-005,,no indication,Adjust limit opening of the valve.,23/01/2017
,07-FT-015,,Dismantle,"Dismantle Impulse tubes as operation request from Tx side, Isolate Tx from manifold.",23/01/2017
,53-FT-001,,defective tube.,Replace defective tube of low side by anew one then function check was done found ok.,23/01/2017
,53-FT-002,,Put in service.,Put TX in-service then check reading found 27%,23/01/2017
,53-PT-001,,Install thermal insulation.,"Stopped, waiting to check steam tracing .",23/01/2017
,53-HV-002A,,Check,Stopped by operation.,23/01/2017
,53-HV-002B,,Check,Stopped by operation.,23/01/2017
,58-FT-001,,,Check found leakage in the orifice. Dismantle impulse tubes then tran,23/01/2017
,53-PK-01A,,,Assist operation to start up the flare.,23/01/2017
,53-PK-01B,,,Assist operation to start up the flare.,23/01/2017
,13-HV-013,,Remove force,Remove force and return them back in-service. Indication box link is loosen,24/01/2017
,13-HV-014,,Remove force,Remove force and return them back in-service.,24/01/2017
,13-HV-017,,Remove force,Remove force and return them back in-service.,24/01/2017
,13-HV-018,,Remove force,Remove force and return them back in-service.,24/01/2017
A2A,02-H-001,,Pilot Alarm,Clean nozzle then adjust air/fuel ratio.,24/01/2017
A2A,03-H-001,,Pilot Alarm,Clean nozzle then adjust air/fuel ratio.,24/01/2017
,13-FT-120A,,Wrong reading,Install an old cell instead of the defective one then zero/ span calibration were done. Change mode from 1C to 4L,24/01/2017
,13-FT-120B,,Check,Zero/ span calibration were done. Change mode from 1C to 4L,24/01/2017
A2A,02-FT-019,,Steam leakage,Check found steam leakage from steam trace.,24/01/2017
,13-TE-256,,Reinstall,Re-install back in-service.,24/01/2017
,13-TI-165,,Reinstall,Re-install back in-service.,24/01/2017
,13-HZ-51,,Install ignitor,Install ignitor then assist operation to startup.,24/01/2017
,13-HZ-01,,Install ignitor,Install ignitor then assist operation to startup.,24/01/2017
,14-TE-022,,Reinstall,Re install back in-service.,24/01/2017
,14-TI-242,,Reinstall,Re install back in-service.,24/01/2017
,14-FV-015,,Reinstall accessories,Install all accessories then function check found ok. Note: positioner cover is missing.,24/01/2017
,14-PDT-057,,Reinstall,Install impulse tubes then put in-service from manifold . Waiting to service the main isolation valves.,24/01/2017
,14-FT-002,,Broken impulse tube,Install a new ferrule and back ferrule.,24/01/2017
,07-FT-015,,Install impulse tube,"Check found missing 2 (1/2 NPT * 12 mm OD ) for tap points, Install fittings then put the TX in service.",24/01/2017
,13-HV-013,,Install thermal insulation,"To be continued next day shift, waiting the thermal insulation to be totally manufactured at w/s.",24/01/2017
,13-HV-017,,Install thermal insulation,"To be continued next day shift, waiting the thermal insulation to be totally manufactured at w/s.",24/01/2017
,13-XV-030,,Wrong indication,Open/Close the valve several times to clear valve stuck then check found ok.,24/01/2017
,07-TE-562,,Alarm,"Check found loose in wires due to vibration, tighten on it then check found no alarm.",24/01/2017
,07-LSH-679,,Alarm,"Check found float stuck, clear stuck then check found the switch can not reset, adjust the switch reset then check found ok.
Note: If the switch reset setting changed again we recommend to install a new switch.",24/01/2017
,13-TE-027,,Install pyrometer,"Install the pyrometer instead of the TC, check calibration found shifted by +93 C° , needs to be calibrated, adjust the reading by alignment to 800 C° as operation request.",24/01/2017
,13-TE-077,,Install pyrometer,"Install the pyrometer instead of the TC, alignment was done to adjust the reading to be as the dismantled TC.",24/01/2017
,53-LT-002,,Install,Install TX back in-service after installing 2 new gaskets. Then check reading found 27%.,24/01/2017
,53-TI-201,,Install,Re-install gauge again.,24/01/2017
,53-LSH-008,,Check,Check found no alarm. Check micro switch only as the drain is closed and the vent tap point is not accessible.,24/01/2017
,53-LSHH-011,,Check,Check found no alarm. Function check was done found ok.,24/01/2017
,58-FT-001,,Leakage,###############################################################################################################################################################################################################################################################,24/01/2017
A2A,02-H-01,,Wrong indication,Adjust air/fuel ratio and check indications found ok.,25/01/2017
A2A,03-H-01,,Wrong indication,"Adjust air/fuel ratio and check indications found ok.
Note: 
1- for 03-BSL-01A the ratio thread is defective.
2- for 03-BSL-01F the Indication card is defective.",25/01/2017
,04-H-02,,Wrong indication,"Adjust air/fuel ratio and check indications found ok.
Note: 
1- for 04-BSL-02E/I the Indication is ok on the card local indicator but not found on the panel.
2- for 04-BSL-02K the Pilot fuel gas line is blocked.",25/01/2017
,13-BE-002,,Wrong reading,"Check found partial blockage in the viewing port, ask the S.T.L to clear blockage. The nitrogen purge isolation valve is stuck at close. Adjust the view angle as possible.
Waiting the operation to clear blockage from the viewing port.",25/01/2017
,13-TT-075,,Wrong reading,"Adjust alignment, check found the new Tx range is (350 C° : 2000 C° ) and at the DCS is (205 C° : 1650 C°), ask EPROM engineer to change the range at DCS for both 13-TT-075/077.",25/01/2017
,07-PT-031,,No problem,"Check found the TX reading matched with the PI reading ( 0.5 bar ), Zero check was done found ok.",25/01/2017
,13-FT-053,,Low reading,"Reset then check reading found matched with FT-052, Zero/Span check was done found ok, Check the pressure of high and low sides found both the same ( -1398 mmH2O) and TX`s reading is ( 0 m3/h).",25/01/2017
,13-FT-052,,Low reading,"Zero/Span check was done found ok, Check the pressure of high and low sides found both the same ( -1398 mmH2O) and TX`s reading is ( 0 m3/h) and matched with FT-053.",25/01/2017
,06-PDT-002,,Wrong reading,"Check found isolated from the manifold, Zero check found ok, Put in service and check reading with DCS operator found ok.",25/01/2017
,06-PDT-003,,Dismantled tube,"Check found the high side impulse tube was dismantled from the tap point and the male connector is missed, install another old 3/4`` NPT/12 mm OD connector then connect the tube and put the Tx in service.",25/01/2017
,14-TI-243,,Reinstall,Install another old TI instead of old broken one..,25/01/2017
,14-PI-310,,Reinstall,Reinstall again as operation request.,25/01/2017
,13-Hv-013,,Install thermal insulation,Thermal insulation installed.,25/01/2017
,13-Hv-017,,Install thermal insulation,Thermal insulation installed.,25/01/2017
,13-XV-002,,Defective coupling,###############################################################################################################################################################################################################################################################,25/01/2017
,06-PDT-003,,No problem,Flush tap points and Zero check was done found ok.,25/01/2017
,58-FT-001,,Connect impulse tube,Connect impulse tube after static dept. finished their job. Refill the seal pot with water and zero check were done found ok. Now the TX is in service but isolated from the main isolation valves.,25/01/2017
,UNIT 56,,"Transfer the cable 
drum",Transfer the cable drum from the unit to EPROM w/s.,25/01/2017
,07-PSL-651,,No Problem,"Check found the alarm cleared because the rotating dept.adjusted the pumb, chexck switch action found ok.",26/01/2017
,13-PI-213,,Check gauge,"Adjust the pointer at Zero
Note: The gauge is stuck in the manifold and the manifold valve stem is inclined.",26/01/2017
,13-PI-214,,Check gauge,Check found ok.,26/01/2017
,13-FT-052,,Low reading,Open vent plug screw to check the vaccum pressure in the presence of EPROM area engineer and he accepted the reading.,26/01/2017
,13-FT-053,,Low reading,Open vent plug screw to check the vaccum pressure in the presence of EPROM area engineer and he accepted the reading.,26/01/2017
A2A,03-BSL-001A,,Rebair fuel nozzle,Dismantle the old fuel nozzle and install another fabricated one then function check found ok. ,26/01/2017
A2A,03-BSL-001F,,Defective flame detection card,"Install an old card and check it found defective, reinstall the old card and function check found ok.",26/01/2017
,13-XV-002,,Install actuator,Install the actuator with the fabricated new coupling then check valve stroke found ok.,26/01/2017
